Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
1,307.0,2,38570.0,1.0,2,3,94.0,5993.0,8,1,11.0,0,1,0,8.0
0,367.0,2,9765.0,1.0,1,3,61.0,5130.0,1,0,23.0,1,4,1,10.0
1,277.0,2,48055.0,1.0,2,10,92.0,2090.0,6,1,15.0,0,2,0,7.0
0,247.0,2,48720.0,1.0,4,3,56.0,2909.0,1,1,11.0,0,3,0,8.0
0,202.0,2,20685.0,1.0,1,7,40.0,3468.0,9,0,12.0,0,4,1,6.0
0,240.0,2,35175.0,1.0,2,3,79.0,3068.0,0,0,13.0,0,3,0,8.0
0,271.0,2,46340.0,1.0,3,7,81.0,2670.0,4,1,20.0,1,1,1,12.0
0,225.0,2,28076.0,24.0,1,3,67.0,2693.0,1,0,22.0,1,2,1,1.0
0,285.0,2,7560.0,23.0,3,3,44.0,9526.0,0,0,21.0,1,2,0,10.0
0,270.0,2,45465.0,27.0,3,0,94.0,5237.0,6,0,13.0,0,2,1,17.0
0,262.0,2,28315.0,16.0,3,7,84.0,2426.0,0,0,13.0,0,3,1,6.0
0,217.0,2,5355.0,15.0,2,3,49.0,4193.0,0,1,12.0,0,4,0,10.0
0,232.0,2,23450.0,26.0,1,3,31.0,2911.0,1,0,17.0,0,4,1,5.0
0,255.0,2,47110.0,19.0,2,7,93.0,2661.0,0,0,11.0,0,3,1,3.0
1,210.0,2,3605.0,24.0,3,3,50.0,2028.0,5,1,14.0,0,2,0,6.0
0,217.0,2,48615.0,21.0,4,3,51.0,9980.0,1,0,11.0,0,3,1,10.0
0,240.0,2,28076.0,1.0,2,3,80.0,3298.0,0,1,12.0,0,4,1,7.0
0,165.0,2,28076.0,16.0,2,7,96.0,2935.0,1,1,13.0,0,2,1,1.0
0,397.0,2,42665.0,1.0,4,3,78.0,15427.0,2,0,16.0,0,3,0,31.0
0,285.0,2,12985.0,1.0,3,3,45.0,3944.0,5,1,11.0,0,3,0,6.0
0,180.0,2,23555.0,11.0,2,10,96.0,4011.0,0,0,18.0,0,4,1,5.0
1,270.0,2,42630.0,1.0,4,3,82.0,3407.0,7,0,23.0,1,2,0,10.0
